"역사","장비","호기"
"부평삼거리","에스컬레이터","3"
"부평","엘리베이터","3"
"부평","에스컬레이터","12"
"캠퍼스타운","에스컬레이터","14"
"경인교대","에스컬레이터","6"
"삼산체육관","에스컬레이터","12"
"문학경기장","엘리베이터","3"
