호선,역명,장비종류,호기,승강기번호,운행구간,설치위치,위도,경도
1,원인재역,EL,1,2036-083,지하1층↔지하2층,"(B2) 신연수역 방향 승강장 3-4 열차 출입문 앞,(B1) 신연수역 방향 열차 승강장 방향",,
1,원인재역,EL,2,2036-084,지하1층↔지하2층,"(B2) 동춘역 방향 승강장 6-1 열차 출입문 앞,(B1) 동춘역 방향 열차 승강장 방향",,
1,원인재역,EL,3,2059-280,지상층↔대합실,"(B1) 1번/6번 출입구 방향,(1F) 6번 출입구 뒤",37.4129822,126.6881497
1,동춘역,EL,1,2036-085,지상층↔지하2층,"(B2) 원인재역 방향 승강장 6-4 열차 출입문 앞,(B1) 원인재역 방향 열차 승강장 방향",37.4054626,126.6803339
1,동춘역,EL,2,2036-086,지하1층↔지하2층,"(B2) 동막역 방향 승강장 3-1 열차 출입문 앞,(B1) 해당 역 대합실,(1F) 3번 출입구 뒤",37.4044376,126.6802874
1,동막역,EL,1,2059-282,지상층↔대합실,"(B1) 3번/4번 출입구 방향,(1F) 4번 출입구 뒤",37.3986450,126.6732224
1,동막역,EL,2,2059-281,지상층↔대합실,"(B1) 1번/2번 출입구 방향,(1F) 1번 출입구 뒤",37.3984053,126.6737119
1,동막역,EL,3,2140-538,대합실↔승강장,"(B2) 테크노파크역 방향 승강장 5-1 열차 출입문 앞,(B1) 테크노파크역 방향 열차 승강장 방향",,
1,캠퍼스타운역,EL,1,2059-457,지하1층↔지하2층,"(B2) 동막역 방향 승강장 4-4 열차 출입문 앞,(B1) 동막역 방향 열차 승강장 방향",,
1,캠퍼스타운역,EL,2,2059-458,지하1층↔지하2층,"(B2) 캠퍼스타운역 방향 승강장 4-4,동춘역 방향 5-1 열차 출입문 앞,(B1) 대합실 표 내는 곳 안 쪽",,
1,캠퍼스타운역,EL,3,2059-459,지상층↔지하1층,"(B1) 1번 출입구 방향,(1F) 1번 출입구 뒤",37.3880130,126.6619963
1,캠퍼스타운역,EL,4,2059-460,지상층↔지하1층,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤",37.3875909,126.6624837
1,캠퍼스타운역,EL,5,2059-461,지상층↔지하1층,"(B1) 3,4번 출입구 방향,(1F) 3번 출입구 뒤",37.3882216,126.6617017
1,테크노파크역,EL,1,2059-276,지하1층↔지하2층,"(B2) 캠퍼스타운역 방향 승강장 5-1 열차 출입문 앞,(B1) 캠퍼스타운역 방향 열차 승강장 방향",,
1,테크노파크역,EL,2,2059-277,지하1층↔지하2층,"(B2) 지식정보단지역 방향 승강장 5-1 열차 출입문 앞,(B1) 지식정보단지역 방향 열차 승강장 방향",,
1,테크노파크역,EL,3,2059-278,지상층↔지하1층,"(B1) 3번 출입구 방향,(1F) 3번 출입구 뒤",37.3821468,126.6563234
1,테크노파크역,EL,4,2059-279,지상층↔지하1층,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤",37.3818603,126.6569598
1,지식정보단지역,EL,1,2059-391,지하1층↔지하2층,"(B2) 테크노파크역 방향 승강장 4-4 열차 출입문 앞,(B1) 테크노파크역 방향 열차 승강장 방향",,
1,지식정보단지역,EL,2,2059-392,지하1층↔지하2층,"(B2) 센트럴파크역 방향 승강장 5-1 열차 출입문 앞,(B1) 센트럴파크역 방향 열차 승강장 방향",,
1,지식정보단지역,EL,3,2059-390,지상층↔지하1층,"(B1) 1,2번 출입구 방향,(1F) 2번 출입구 뒤",37.3779170,126.6450747
1,지식정보단지역,EL,4,2059-393,지상층↔지하1층,"(B1) 3번 출입구 방향,(1F) 상가건물 앞 ",37.3784430,126.6454589
1,인천대입구역,EL,1,2059-350,지하1층↔지하2층,"(B2) 지식정보단지역 방향 승강장 5-4 열차 출입문 앞,(B1) 지식정보단지역 방향 열차 승강장 방향",,
1,인천대입구역,EL,2,2059-351,지하1층↔지하2층,"(B2) 센트럴파크역 방향 승강장 4-1 열차 출입문 앞,(B1) 센트럴파크역 방향 열차 승강장 방향",37.3867600,126.6396779
1,인천대입구역,EL,3,2059-352,지상층↔지하1층,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤",37.3859629,126.6390296
