"역사","장비","호기"
"동수","에스컬레이터","4"
"부평","에스컬레이터","14"
"예술회관","에스컬레이터","4"
"부평삼거리","에스컬레이터","3"
"삼산체육관","에스컬레이터","12"
"부평구청","에스컬레이터","7"
"문학경기장","엘리베이터","3"
