"역사","장비","호기"
"간석오거리","에스컬레이터","5"
"계양","에스컬레이터","3"
"서부여성회관","에스컬레이터","2"
"가재울","에스컬레이터","4"
"인천시청","에스컬레이터","11"
"굴포천","에스컬레이터","13"
"신중동","에스컬레이터","14"
"부천시청","에스컬레이터","12"
"신중동","엘리베이터","4"
"부천시청","에스컬레이터","11"
"문학경기장","엘리베이터","3"
