"역사","장비","호기"
"계양","에스컬레이터","3"
"동수","에스컬레이터","4"
"선학","에스컬레이터","3"
"검단호수공원","에스컬레이터","11"
"간석오거리","에스컬레이터","8"
"부평","에스컬레이터","12"
"부평","에스컬레이터","15"
"부평","에스컬레이터","8"
"선학","엘리베이터","3"
"굴포천","에스컬레이터","13"
"신중동","에스컬레이터","14"
"삼산체육관","에스컬레이터","8"
"신중동","엘리베이터","4"
"부평구청","에스컬레이터","6"
"문학경기장","엘리베이터","3"
