dataCrtYmd,stdgCtpvSggCd,stdgEmdCd,roadNmNo,udgdYn,bmno,bsno,mvmnSn,ctpvNm,sggNm,umdNm,roadNm,chgBfrStdgCtpvSggCd,chgBfrStdgEmdCd,chgBfrRoadNmNo,chgBfrUdgdYn,chgBfrBmno,chgBfrBsno,chgBfrCtpvNm,chgBfrSggNm,chgBfrUmdNm,chgBfrRoadNm,chgRsnCd,updtSeCd,chgRsn
20240709,28710,400,3157010,0,229,17,1,인천광역시,강화군,교동면,교동남로,28710,400,3157010,0,229,12,인천광역시,강화군,교동면,교동남로,35,C,
20240711,28710,350,4271127,0,27,0,1,인천광역시,강화군,양도면,건평로182번길,28710,350,4271127,0,21,0,인천광역시,강화군,양도면,건평로182번길,34,U,진출입구 변경
20240718,28720,360,4274179,0,124,0,1,인천광역시,옹진군,영흥면,영흥로722번길,28720,360,4274179,0,120,0,인천광역시,옹진군,영흥면,영흥로722번길,35,C,
20240831,28237,104,4262561,0,26,0,1,인천광역시,부평구,청천동,안남로433번길,28237,104,4262561,0,14,0,인천광역시,부평구,청천동,안남로433번길,37,U,
20240803,28245,101,4265195,0,31,0,1,인천광역시,계양구,효성동,봉오대로463번길,28245,101,4265195,0,34,0,인천광역시,계양구,효성동,봉오대로463번길,34,U,
20250227,28237,101,3154026,0,17,1,1,인천광역시,부평구,부평동,부평공원로,28237,101,3154038,0,44,0,인천광역시,부평구,부평동,신촌로,34,U,
20250228,28720,360,4274095,0,48,0,1,인천광역시,옹진군,영흥면,선재로317번길,28720,360,4274095,0,54,0,인천광역시,옹진군,영흥면,선재로317번길,37,U,
20250304,28260,120,4268577,0,40,1,1,인천광역시,서구,왕길동,원당대로507번길,28260,120,4268577,0,40,0,인천광역시,서구,왕길동,원당대로507번길,35,C,
20250304,28260,120,4268577,0,40,2,1,인천광역시,서구,왕길동,원당대로507번길,28260,120,4268577,0,40,0,인천광역시,서구,왕길동,원당대로507번길,35,C,
20250426,28177,105,4253448,0,13,22,1,인천광역시,미추홀구,주안동,신기길29번길,28177,105,4253448,0,13,20,인천광역시,미추홀구,주안동,신기길29번길,35,C,
20250502,28177,101,3000028,0,13,2,1,인천광역시,미추홀구,숭의동,경인로,28177,101,3000028,0,13,1,인천광역시,미추홀구,숭의동,경인로,35,C,
20250523,28200,110,4259179,0,31,0,1,인천광역시,남동구,논현동,남동서로236번길,28200,110,4259179,0,41,0,인천광역시,남동구,논현동,남동서로236번길,34,U,
20250612,28200,111,4259709,0,149,12,1,인천광역시,남동구,고잔동,청능대로448번길,28200,111,3008020,0,595,0,인천광역시,남동구,고잔동,앵고개로,35,C,
20250613,28200,111,4259709,0,149,20,1,인천광역시,남동구,고잔동,청능대로448번길,28200,111,3008020,0,595,0,인천광역시,남동구,고잔동,앵고개로,35,C,
20250627,28177,102,3151004,0,112,2,1,인천광역시,미추홀구,용현동,낙섬중로,28177,102,3151004,0,112,1,인천광역시,미추홀구,용현동,낙섬중로,35,C,
20250708,28720,360,4274096,0,107,13,1,인천광역시,옹진군,영흥면,선재로34번길,28720,360,4274096,0,107,15,인천광역시,옹진군,영흥면,선재로34번길,35,C,
20250716,28237,103,4262794,0,31,0,1,인천광역시,부평구,산곡동,화랑로77번길,28237,103,4262794,0,37,0,인천광역시,부평구,산곡동,화랑로77번길,34,U,맞변경
20250716,28237,103,4262794,0,35,0,1,인천광역시,부평구,산곡동,화랑로77번길,28237,103,4262794,0,31,0,인천광역시,부평구,산곡동,화랑로77번길,34,U,맞변경
20250716,28237,103,4262794,0,37,0,1,인천광역시,부평구,산곡동,화랑로77번길,28237,103,4262794,0,35,0,인천광역시,부평구,산곡동,화랑로77번길,34,U,맞변경
20250718,28720,360,4274179,0,92,48,1,인천광역시,옹진군,영흥면,영흥로722번길,28720,360,4274179,0,92,50,인천광역시,옹진군,영흥면,영흥로722번길,35,C,
20250729,28710,250,4271317,0,19,8,1,인천광역시,강화군,강화읍,동문로236번길,28710,250,4271317,0,19,10,인천광역시,강화군,강화읍,동문로236번길,34,U,
20250731,28720,360,3158031,0,243,45,1,인천광역시,옹진군,영흥면,영흥서로,28720,360,3158031,0,243,86,인천광역시,옹진군,영흥면,영흥서로,35,C,
20250801,28710,400,4271186,0,48,7,1,인천광역시,강화군,교동면,교동남로207번길,28710,400,4271186,0,40,4,인천광역시,강화군,교동면,교동남로207번길,34,U,
